GeneID,GSM2791576,GSM2791580,GSM2791584,GSM2791588
5770,76.17,73.86,62.08,93.46
693230,0.0,0.0,1.145,0.0
140876,0.2494,0.2194,0.1226,0.05799
100302146,0.0,0.0,0.7172,0.0
100506175,0.0,0.1341,0.0,0.0
105372659,0.0,0.0,0.0,0.0
84612,8.629,6.578,4.135,3.112
55653,3.958,6.139,4.5,5.558
23394,21.17,15.46,17.92,20.14
101927631,5.021,2.241,3.339,2.699
8813,146.0,225.0,155.2,188.2
27304,7.759,6.663,5.198,6.146
3755,0.0,0.0,0.04283,0.0
105372662,0.0,0.0,0.0,0.0
105372661,0.0,0.0,0.0,0.0
105372663,0.3806,0.5135,0.1076,0.1357
4773,1.513,1.305,2.056,2.711
100422889,0.0,0.0,1.474,0.0
10079,1.085,1.048,0.995,0.9924
57167,0.1642,0.07911,0.315,0.03137
101927678,0.0,0.0,0.0,0.0
105372664,0.2709,0.0,0.0,0.0
55734,4.613,4.875,5.163,5.916
105372666,0.0,0.0,0.0,0.0
107985427,0.0,0.0,0.0,0.0
105372667,0.0,0.0,0.0,0.0
105372665,0.0,0.0,0.0,0.0
101927700,0.0,0.0,0.0,0.0
105376985,0.0,0.0,0.0,0.0
105372668,0.0,0.0,0.0,0.0
128553,0.01199,0.0,0.1694,0.0
105372669,0.0,0.0,0.0,0.0
105372671,0.0,0.0,0.0,0.0
101927770,0.391,0.2637,0.05526,0.1046
7764,13.44,6.575,8.501,8.631
105372672,0.5994,0.2246,1.129,0.3562
391257,0.0,0.0,0.0,0.0
8537,0.04162,0.07018,0.2941,0.0
100616225,0.0,0.0,0.0,0.0
1591,3.129,2.001,2.211,1.395
105372675,0.0,0.08723,0.0,0.0
5203,80.31,107.4,85.25,103.9
107985385,0.0,0.0,0.0,0.0
55816,0.0,0.0,0.3798,0.0
101927796,0.0,0.0,0.0,0.0
102723578,0.0,0.0,0.0,0.0
105372676,0.0,0.0,0.0,0.0
107984001,0.0,0.0,0.03515,0.0
105372677,0.0,0.0,0.0,0.0
105372678,0.0,0.0,0.0,0.0
140689,0.02414,0.0,0.2388,0.0
105372679,0.0,0.0,0.0,0.0
105376989,0.0,0.0,0.0,0.0
105372680,0.0,0.0,0.0,0.0
4159,0.07023,0.1579,0.2977,0.0
116151,31.88,20.86,34.54,22.58
6790,178.6,195.6,186.3,243.4
1477,42.11,42.64,34.96,38.39
57091,0.04699,0.03522,0.2435,0.0
51507,192.8,282.6,196.3,291.5
140687,0.4057,0.1658,1.042,0.1973
105372681,0.0,0.3078,0.387,0.0
200232,0.2928,0.1646,0.5172,0.261
388799,0.156,0.02191,0.1102,0.08689
105372682,0.0,0.0,0.0,0.0
7022,62.83,57.77,37.59,44.34
105372683,0.0,0.2137,0.06716,0.02118
105372685,0.1159,0.1303,0.0,0.0
105372686,0.0,0.0,0.0,0.0
