GeneID,GSM2791577,GSM2791581,GSM2791585,GSM2791589
1647,108.3,133.1,112.9,136.6
55970,157.2,120.1,118.4,202.5
105378781,0.0,0.0,0.04458,0.04212
100289178,0.9497,0.8573,0.6153,0.7954
9077,0.08445,0.06964,0.1065,0.03355
79971,57.54,58.76,48.18,58.27
100302279,0.0,0.0,0.0,0.0
105378782,0.0,0.0,0.0,0.0
6121,0.0194,0.04799,0.04895,0.02312
55635,55.59,45.1,54.11,60.22
101927220,1.388,0.6865,1.284,1.047
107984967,0.242,0.09978,0.2035,0.09614
105378783,0.0,0.0,0.0,0.0
105378785,0.0,0.0,0.0,0.0
105378787,0.0,0.0,0.0,0.0
105378786,0.0,0.0,0.0,0.0
105378788,0.0,0.0,0.0,0.0
105378789,0.0,0.0,0.0,0.0
105378790,0.0,0.0,0.0,0.08312
57554,0.03037,0.03536,0.01352,0.02981
5301,0.0,0.07163,0.0,0.0
105378792,0.07471,0.05281,0.01346,0.03816
55631,20.19,17.37,17.3,17.21
9295,39.55,26.01,41.68,38.18
81573,36.2,29.39,27.79,36.73
11147,14.93,10.6,10.23,15.7
102724548,1.46,0.7808,1.045,0.7993
1491,11.03,10.62,7.349,7.997
105378793,0.1488,0.09206,0.09389,0.0
105378794,0.0,0.0,0.0,0.0
101927244,0.0,0.0,0.0,0.0
102724572,0.0,0.0,0.0,0.0
5733,0.0898,0.08331,0.04248,0.0602
107985517,0.0,0.0,0.0,0.0
100132618,9.899,7.526,9.54,7.784
9406,69.21,51.58,69.59,56.99
406962,4.695,2.489,9.307,7.194
100852410,0.7366,0.1822,0.9293,0.7901
105378795,0.0,0.0,0.0,0.0
257194,4.823,4.027,4.38,5.579
100852409,0.0,0.0,0.0,0.0
105378797,0.2983,0.1968,0.3262,0.403
105378796,0.0,0.0,0.0,0.0
105378798,0.0,0.0,0.0,0.0
339468,0.0,0.0,0.0,0.0
105378799,0.0,0.0,0.0,0.0
105378800,0.0,0.0,0.0,0.0
101927295,0.0,0.0,0.0,0.0
105378801,0.0,0.0,0.0,0.0
107985391,0.0,0.0,0.0,0.0
105378802,0.0,0.0,0.0,0.0
109729166,0.0,0.0,0.0,0.0
127255,1.374,0.8023,1.247,1.031
100526835,0.8766,0.7688,0.7841,0.5698
8790,5.692,4.956,4.499,4.731
51086,0.07642,0.07089,0.0241,0.0
105378805,0.0,0.02488,0.0,0.0
105378803,0.0,0.03461,0.02647,0.0
127254,0.005855,0.02173,0.02216,0.01396
101927320,0.0,0.0,0.01442,0.02724
1429,52.46,59.76,52.6,57.33
127253,31.13,26.57,26.48,36.15
431707,0.01826,0.02258,0.0,0.0
204962,1.384,0.9292,0.9144,1.249
34,70.95,82.41,64.03,72.79
1744,0.4021,0.3553,0.314,0.3195
5876,129.0,154.3,159.7,157.9
692085,19.97,5.488,33.58,23.79
26805,15.79,0.8493,9.528,5.728
26804,21.93,3.015,21.52,5.809
4438,0.2646,0.24,0.356,0.2523
127247,0.0,0.0,0.0,0.0
105378806,0.0,0.0,0.0,0.0
101927342,0.0,0.0,0.0,0.1863
256435,0.05906,0.04566,0.04656,0.04839
